,name,ClipFrac,AverageEpRet,TotalEnvInteracts,LossV,_step,StdVVals,MaxEpRet,_runtime,AverageVVals,MinTrainCleanliness,StdTrainCleanliness,KL,LossPi,MaxVVals,MinVVals,EpLen,StopIter,DeltaLossPi,AverageTrainCleanliness,Time,Epoch,Entropy,MinEpRet,StdEpRet,DeltaLossV,_timestamp,MaxTrainCleanliness,_wandb,MaxQ1Vals,StdTestEpRet,MinCleanliness,StdLogPi,MinQ2Vals,AverageQ1Vals,LossQ,AverageLogPi,MinLogPi,StdQ1Vals,MinTestEpRet,AverageTestEpRet,StdQ2Vals,AverageQ2Vals,MaxQ2Vals,MinQ1Vals,MaxTestEpRet,AverageCleanliness,MaxLogPi,TestEpLen,StdCleanliness,MaxCleanliness,Maxcleanliness,Averagecleanliness,Mincleanliness,Averagetrain_cleanliness,Stdcleanliness,Stdtrain_cleanliness,Mintrain_cleanliness,Maxtrain_cleanliness,alpha,gamma,epochs,polyak,algorithm,batch_size,max_ep_len,learning_rate,updates_after,steps_per_epoch,num_test_episodes,lr,clip_ratio
204,balmy-sweep-138,1.0,476,7200.0,64.10505676269531,7.0,0.0,476,171.0,1.0,0.11900000274181366,0.0,3731.271728515625,0.2755642533302307,1.0,1.0,900,0.0,0.0,0.11900000274181366,170.0928897857666,7.0,0.9189385771751404,476,0,0.0,1655776328.0,0.11900000274181366,{'runtime': 170},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8982296283074143,8.0,0.995,ppo,100.0,900.0,0.010227701587966688,400.0,900.0,3.0,0.010227701587966688,0.2463916026538831
205,decent-sweep-137,1.0,256,7200.0,143.60183715820312,7.0,0.0,256,353.0,1.0,0.05649999901652336,0.003750002011656761,7415.52685546875,0.2648749053478241,1.0,1.0,612,0.0,0.0,0.06024999916553497,350.3193769454956,7.0,0.9189385771751404,256,0,0.0,1655776440.0,0.06400000303983688,{'runtime': 351},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9419103826414884,8.0,0.995,ppo,64.0,900.0,0.0047681029333148,400.0,900.0,3.0,0.0047681029333148,0.2888210303093887
206,pious-sweep-136,1.0,554,7200.0,53.012943267822266,7.0,0.0,554,165.0,1.0,0.13850000500679016,0.0,2065.737060546875,0.3416430652141571,1.0,1.0,900,0.0,0.0,0.13850000500679016,163.34373545646667,7.0,0.9189385771751404,554,0,0.0,1655776145.0,0.13850000500679016,{'runtime': 164},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8794181273934578,8.0,0.995,ppo,100.0,900.0,0.015840211763291562,400.0,900.0,3.0,0.015840211763291562,0.12133484928215256
207,ethereal-sweep-135,1.0,424,7200.0,297.3882141113281,7.0,0.0,424,172.0,1.0,0.10599999874830246,0.0,10547.208984375,0.36923882365226746,1.0,1.0,900,0.0,0.0,0.10599999874830246,170.0523271560669,7.0,0.9189385771751404,424,0,0.0,1655775971.0,0.10599999874830246,{'runtime': 171},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9648863091183348,8.0,0.995,ppo,100.0,900.0,0.005825590051277693,400.0,900.0,3.0,0.005825590051277693,0.0853672001635756
208,magic-sweep-134,1.0,512,7200.0,22.45233154296875,7.0,0.0,512,312.0,1.0,0.12800000607967377,0.0,3037.867919921875,0.27854955196380615,1.0,1.0,900,0.0,0.0,0.12800000607967377,308.84814977645874,7.0,0.9189385771751404,512,0,0.0,1655776074.0,0.12800000607967377,{'runtime': 310},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8146657772749262,8.0,0.995,ppo,64.0,900.0,0.008151859227002218,400.0,900.0,3.0,0.008151859227002218,0.2658732767801091
209,helpful-sweep-133,1.0,286,7200.0,74.19789123535156,7.0,0.019396798685193065,286,170.0,-0.08006903529167175,0.07150000333786011,0.014249999076128006,5812.7724609375,0.3654767572879791,-0.05511266365647316,-0.11192838102579115,452,0.0,0.0,0.08574999868869781,168.12759065628052,7.0,0.9189385771751404,286,0,0.0,1655775787.0,0.10000000149011612,{'runtime': 169},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8695995892568571,8.0,0.995,ppo,100.0,900.0,0.008643342839311036,400.0,900.0,3.0,0.008643342839311036,0.05754310984532762
210,smart-sweep-132,1.0,242,7200.0,3.5882344245910645,7.0,0.0,242,172.0,1.0,0.060499999672174454,0.0,11240.7568359375,0.2225526422262192,1.0,1.0,900,0.0,0.0,0.060499999672174454,170.87658071517944,7.0,0.9189385771751404,242,0,0.0,1655775608.0,0.060499999672174454,{'runtime': 171},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6220386635451883,8.0,0.995,ppo,100.0,900.0,0.012789313004859214,400.0,900.0,3.0,0.012789313004859214,0.21328419771358392
211,skilled-sweep-131,1.0,166,7200.0,4.403491973876953,7.0,0.002872972283512354,166,380.0,-0.10225790739059448,0.04149999842047691,0.0,13166.8310546875,0.17659461498260498,-0.09432284533977509,-0.10696746408939362,900,0.0,0.0,0.04149999842047691,376.78440952301025,7.0,0.9189385771751404,166,0,0.0,1655775747.0,0.04149999842047691,{'runtime': 378},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6374373567878968,8.0,0.995,ppo,64.0,900.0,0.0020853698768407477,400.0,900.0,3.0,0.0020853698768407477,0.33580049830877373
212,youthful-sweep-14,,51.33333206176758,7199.0,,7.0,,54,1031.0,,0.012000000104308128,0.0006236096960492432,,1.738358974456787,,,304.3333435058594,,,0.01283333357423544,1024.7139348983765,8.0,,48,2.494438409805298,,1655776377.0,0.013500000350177288,{'runtime': 1030},-0.9999993443489076,31.04119110107422,0.0024999999441206455,2.8211636543273926,1.0,-0.9999999403953552,10.745078086853027,1.5611757040023804,-10.111119270324709,1.810450243056039e-07,10.0,47.33333206176758,0.0,1.0,1.0,-1.0,86.0,0.011833333410322666,13.624804496765137,900.0,0.0077602979727089405,0.0215000007301569,,,,,,,,,0.4729508266992516,0.8419315347206623,8.0,0.815073518320184,sac,100.0,900.0,0.0039898252624505255,400.0,900.0,3.0,0.0039898252624505255,
213,frosty-sweep-130,1.0,624,7200.0,20035.501953125,7.0,0.0,624,174.0,1.0,0.15600000321865082,0.0,8771.08203125,0.3821470439434051,1.0,1.0,900,0.0,0.0,0.15600000321865082,172.12127447128296,7.0,0.9189385771751404,624,0,0.0,1655775423.0,0.15600000321865082,{'runtime': 173},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9966371652379782,8.0,0.995,ppo,100.0,900.0,0.002045702366530292,400.0,900.0,3.0,0.002045702366530292,0.13411479204182447
